,name
0,"['pot', 'knife', 'skillet', 'oven']"
1,"['pot', 'knife', 'skillet']"
2,"['pot', 'microwave', 'knife', 'baking dish']"
3,"['pot', 'knife', 'saucepan', 'skillet', 'oven']"
4,"['pot', 'blender', 'knife', 'skillet']"
5,"['knife', 'whisk', 'skillet']"
6,"['knife', 'saucepan']"
7,"['pot', 'knife']"
8,"['knife', 'skillet']"
9,"['pot', 'knife', 'skillet']"
10,"['pot', 'blender', 'knife', 'whisk']"
11,"['knife', 'saucepan']"
12,"['knife', 'oven']"
13,"['microwave', 'knife', 'spatula', 'mixer']"
14,"['pot', 'knife']"
15,"['pot', 'microwave', 'knife', 'spatula', 'skillet', 'oven']"
16,"['pot', 'knife', 'whisk']"
17,"['pot', 'knife']"
18,"['microwave', 'knife', 'skillet']"
19,"['pot', 'knife', 'skillet']"
20,"['pot', 'knife', 'whisk']"
21,"['knife', 'saucepan', 'skillet']"
22,"['pot', 'blender', 'knife']"
23,"['pot', 'knife', 'spatula', 'saucepan']"
24,"['microwave', 'knife', 'spatula', 'saucepan', 'oven', 'sheet pan']"
25,['knife']
26,"['knife', 'saucepan']"
27,"['knife', 'skillet']"
28,['knife']
29,"['pot', 'knife', 'whisk', 'saucepan', 'skillet', 'oven']"
30,['knife']
31,"['pot', 'knife', 'skillet']"
32,"['pot', 'knife', 'whisk', 'skillet']"
33,"['knife', 'skillet']"
34,"['knife', 'sheet pan']"
35,"['blender', 'knife', 'skillet']"
36,"['pot', 'knife', 'skillet']"
37,"['knife', 'skillet', 'oven']"
38,"['pot', 'knife', 'skillet']"
39,"['pot', 'knife']"
40,"['pot', 'knife', 'oven']"
41,"['pot', 'knife', 'skillet']"
42,"['pot', 'stove', 'knife', 'whisk', 'skillet']"
43,['knife']
